,id,address,city,state,zipcode,geocoded_address,is_match,is_exact,returned_address,coordinates,tiger_line,side,state_fips,county_fips,tract,block,longitude,latitude
0,3,264 W 23RD PL,Chicago,IL,,"264 W 23RD PL, Chicago, IL, nan",Match,Non_Exact,"264 W 23RD PL, CHICAGO, IL, 60616","-87.633821502999,41.850098321658",605497464,R,17,31,841100,2004,-87.6338215,41.85009832
1,4,3740 N PLAINFIELD AVE,Chicago,IL,,"3740 N PLAINFIELD AVE, Chicago, IL, nan",Match,Non_Exact,"3740 N PLAINFIELD AVE, CHICAGO, IL, 60634","-87.834154787731,41.947394118975",111746395,L,17,31,170500,4009,-87.83415479,41.94739412
2,5,4894 S ARCHER AVE,Chicago,IL,,"4894 S ARCHER AVE, Chicago, IL, nan",Match,Non_Exact,"4894 S ARCHER AVE, CHICAGO, IL, 60632","-87.720135877241,41.804413524556",112045503,R,17,31,570400,2008,-87.72013588,41.80441352
3,7,4894 S ARCHER AVE,Chicago,IL,,"4894 S ARCHER AVE, Chicago, IL, nan",Match,Non_Exact,"4894 S ARCHER AVE, CHICAGO, IL, 60632","-87.720135877241,41.804413524556",112045503,R,17,31,570400,2008,-87.72013588,41.80441352
4,8,456 W 33RD ST,Chicago,IL,,"456 W 33RD ST, Chicago, IL, nan",Match,Non_Exact,"456 W 33RD ST, CHICAGO, IL, 60616","-87.638004053994,41.834567199699",605495485,R,17,31,840000,1015,-87.63800405,41.8345672
5,9,5505 N NAGLE AVE,Chicago,IL,,"5505 N NAGLE AVE, Chicago, IL, nan",Match,Non_Exact,"5505 N NAGLE AVE, CHICAGO, IL, 60630","-87.787692522606,41.981168820705",111750117,R,17,31,110300,1004,-87.78769252,41.98116882
6,10,9918 S WENTWORTH AVE,Chicago,IL,,"9918 S WENTWORTH AVE, Chicago, IL, nan",Match,Non_Exact,"9918 S WENTWORTH AVE, CHICAGO, IL, 60628","-87.628552246148,41.71381811825",111833891,R,17,31,490700,3000,-87.62855225,41.71381812
7,11,9918 S WENTWORTH AVE,Chicago,IL,,"9918 S WENTWORTH AVE, Chicago, IL, nan",Match,Non_Exact,"9918 S WENTWORTH AVE, CHICAGO, IL, 60628","-87.628552246148,41.71381811825",111833891,R,17,31,490700,3000,-87.62855225,41.71381812
8,12,1006 N ST LOUIS AVE,Chicago,IL,,"1006 N ST LOUIS AVE, Chicago, IL, nan",Match,Non_Exact,"1006 N ST LOUIS AVE, CHICAGO, IL, 60651","-87.714079726769,41.899292671932",111759593,L,17,31,231100,1008,-87.71407973,41.89929267
9,14,11442 S VINCENNES AVE,Chicago,IL,,"11442 S VINCENNES AVE, Chicago, IL, nan",Match,Non_Exact,"11442 S VINCENNES AVE, CHICAGO, IL, 60643","-87.667146351028,41.685858390698",111823642,R,17,31,750500,3037,-87.66714635,41.68585839
10,15,7426 S LOWE AVE,Chicago,IL,,"7426 S LOWE AVE, Chicago, IL, nan",Match,Non_Exact,"7426 S LOWE AVE, CHICAGO, IL, 60621","-87.640687437217,41.759538803622",111831305,R,17,31,681300,1007,-87.64068744,41.7595388
11,17,4835 N KARLOV AVE,Chicago,IL,,"4835 N KARLOV AVE, Chicago, IL, nan",Match,Non_Exact,"4835 N KARLOV AVE, CHICAGO, IL, 60630","-87.73044091327,41.96899968548",605169938,R,17,31,140400,1012,-87.73044091,41.96899969
12,20,4835 N KARLOV AVE,Chicago,IL,,"4835 N KARLOV AVE, Chicago, IL, nan",Match,Non_Exact,"4835 N KARLOV AVE, CHICAGO, IL, 60630","-87.73044091327,41.96899968548",605169938,R,17,31,140400,1012,-87.73044091,41.96899969
13,21,456 W 33RD ST,Chicago,IL,,"456 W 33RD ST, Chicago, IL, nan",Match,Non_Exact,"456 W 33RD ST, CHICAGO, IL, 60616","-87.638004053994,41.834567199699",605495485,R,17,31,840000,1015,-87.63800405,41.8345672
14,22,7426 S LOWE AVE,Chicago,IL,,"7426 S LOWE AVE, Chicago, IL, nan",Match,Non_Exact,"7426 S LOWE AVE, CHICAGO, IL, 60621","-87.640687437217,41.759538803622",111831305,R,17,31,681300,1007,-87.64068744,41.7595388
