community,area_num_1,GRR,L,NL,U,total,flag,lead_plus_suspected,requires_replacement,pct_lead,pct_grr,pct_suspected_lead,pct_lead_plus_suspected,pct_requires_replacement,pct_not_lead,N,Y,NA,pct_replaced,median_household_income,pct_poverty,pct_hispanic,pct_white_nonhispanic,pct_black_nonhispanic,pct_asian_nonhispanic,pct_minority
Rogers Park,1,129,746,836,2118,3829,FALSE,2864,2993,19.5,3.4,55.3,74.8,78.2,21.8,3775,54,0,1.4,59552.90750816104,18.1,21.1,44.6,23.3,5.8,55.4
West Ridge,2,137,2920,1031,5931,10019,FALSE,8851,8988,29.1,1.4,59.2,88.3,89.7,10.3,9899,119,1,1.2,71524.00270607827,17.4,21.9,38.7,11.7,21.8,61.3
Uptown,3,37,465,1370,1509,3381,FALSE,1974,2011,13.8,1.1,44.6,58.4,59.5,40.5,3338,43,0,1.3,68443.89798039797,20.7,14,50.9,20,10.4,49.1
Lincoln Square,4,119,1864,1438,2703,6124,FALSE,4567,4686,30.4,1.9,44.1,74.6,76.5,23.5,6014,110,0,1.8,93604.9202614379,9.6,19.8,60.9,4.4,9.2,39.1
North Center,5,126,1611,3125,2491,7353,FALSE,4102,4228,21.9,1.7,33.9,55.8,57.5,42.5,7269,84,0,1.1,145156.05647058823,4.7,13.3,73.1,2.2,6.2,26.9
Lake View,6,98,1232,4816,3849,9995,FALSE,5081,5179,12.3,1,38.5,50.8,51.8,48.2,9896,99,0,1,104135.14078002052,8.1,9.7,74.2,4.8,6.9,25.8
Lincoln Park,7,49,740,4385,3625,8799,FALSE,4365,4414,8.4,0.6,41.2,49.6,50.2,49.8,8731,68,0,0.8,137504.27444614208,8.4,7.5,77.8,3.1,7.5,22.2
Near North Side,8,46,151,2443,905,3545,FALSE,1056,1102,4.3,1.3,25.5,29.8,31.1,68.9,3536,9,0,0.3,122602.26006124234,10,7.5,66.2,8.7,13.5,33.8
Edison Park,9,34,1478,348,1845,3705,FALSE,3323,3357,39.9,0.9,49.8,89.7,90.6,9.4,3642,63,0,1.7,133209.41737288135,6.9,13.8,80.7,0.4,1.7,19.3
Norwood Park,10,145,4915,1009,6360,12429,FALSE,11275,11420,39.5,1.2,51.2,90.7,91.9,8.1,12190,238,1,1.9,109002.94945217902,6.7,18.4,70.6,1,7.2,29.4
Jefferson Park,11,212,2648,561,3772,7193,FALSE,6420,6632,36.8,2.9,52.4,89.3,92.2,7.8,7093,100,0,1.4,93705.26583493284,6,26,57.5,2.3,12,42.5
Forest Glen,12,53,2850,615,3070,6588,FALSE,5920,5973,43.3,0.8,46.6,89.9,90.7,9.3,6492,96,0,1.5,138252.48192771085,4.3,12,72.9,0.9,10.2,27.1
North Park,13,62,1023,499,1971,3555,FALSE,2994,3056,28.8,1.7,55.4,84.2,86,14,3483,72,0,2,77368.32631578947,16.5,17.6,41.8,5.1,32,58.2
Albany Park,14,206,2343,813,3280,6642,FALSE,5623,5829,35.3,3.1,49.4,84.7,87.8,12.2,6510,132,0,2,82249.35405790224,13.6,44.5,33.3,3.8,15,66.7
Portage Park,15,332,5386,1217,7531,14466,FALSE,12917,13249,37.2,2.3,52.1,89.3,91.6,8.4,14179,287,0,2,89490.25048262549,9.7,41.4,48.4,1.4,5.4,51.6
Irving Park,16,262,3543,1642,4377,9824,FALSE,7920,8182,36.1,2.7,44.6,80.6,83.3,16.7,9671,153,0,1.6,88437.08784596871,10.5,40.4,43.5,3.6,8.6,56.5
Dunning,17,170,4023,1115,6837,12145,FALSE,10860,11030,33.1,1.4,56.3,89.4,90.8,9.2,12019,126,0,1,84684.03308305959,8.8,35.4,54.2,2.2,5.7,45.8
Montclare,18,54,932,318,1733,3037,FALSE,2665,2719,30.7,1.8,57.1,87.8,89.5,10.5,2999,38,0,1.3,78840.9921875,10.2,57.5,31.9,7.4,2.6,68.1
Belmont Cragin,19,225,3813,803,8445,13286,FALSE,12258,12483,28.7,1.7,63.6,92.3,94,6,13122,164,0,1.2,67003.54108216433,14.7,79.1,13.1,3.3,2.8,86.9
Hermosa,20,50,1432,272,2078,3832,FALSE,3510,3560,37.4,1.3,54.2,91.6,92.9,7.1,3781,51,0,1.3,67038.63687150838,14.9,81.9,11.6,3.4,2.1,88.4
Avondale,21,128,1923,1084,3272,6407,FALSE,5195,5323,30,2,51.1,81.1,83.1,16.9,6298,109,0,1.7,92644.1112804878,13.2,51.2,37.3,2.8,4.8,62.7
Logan Square,22,208,2996,3729,5305,12238,FALSE,8301,8509,24.5,1.7,43.3,67.8,69.5,30.5,11979,259,0,2.1,103751.88618720802,10.7,34.5,51.5,5.3,4.9,48.5
Humboldt Park,23,207,2747,1184,5294,9432,FALSE,8041,8248,29.1,2.2,56.1,85.3,87.4,12.6,9278,154,0,1.6,53567.3288209607,26.2,52.1,11.8,31.9,2.4,88.2
West Town,24,116,1594,6415,6440,14565,FALSE,8034,8150,10.9,0.8,44.2,55.2,56,44,14375,190,0,1.3,134132.87031316297,8.9,19.8,63.2,5.3,6.1,36.8
Austin,25,498,6747,1543,9412,18200,FALSE,16159,16657,37.1,2.7,51.7,88.8,91.5,8.5,17778,422,0,2.3,44882.26510989011,24.7,20.6,5.6,71.1,0.6,94.4
West Garfield Park,26,88,825,438,1721,3072,FALSE,2546,2634,26.9,2.9,56,82.9,85.7,14.3,3011,61,0,2,38177.93571428571,31.6,5.8,1.8,91.7,0.2,98.2
East Garfield Park,27,70,695,952,1710,3427,FALSE,2405,2475,20.3,2,49.9,70.2,72.2,27.8,3369,58,0,1.7,36810.98032407407,39,8.3,6.6,83.2,0.6,93.4
Near West Side,28,58,530,3715,1848,6151,FALSE,2378,2436,8.6,0.9,30,38.7,39.6,60.4,6122,29,0,0.5,110650.63049685894,15.8,10.9,42.7,24.6,17,57.3
North Lawndale,29,102,1272,1284,3124,5782,FALSE,4396,4498,22,1.8,54,76,77.8,22.2,5670,112,0,1.9,37246.973195876286,33.2,16,5.1,76.2,0.4,94.9
South Lawndale,30,91,2433,720,6087,9331,FALSE,8520,8611,26.1,1,65.2,91.3,92.3,7.7,9188,143,0,1.5,47514.587525150906,21.2,81,5.8,12.2,0.7,94.2
Lower West Side,31,46,687,1076,3586,5395,FALSE,4273,4319,12.7,0.9,66.5,79.2,80.1,19.9,5300,95,0,1.8,71733.87472924188,16.1,68.4,22,3.3,3.6,78
