geoid,pct_poverty,median_household_income,pct_hispanic,pct_black_nonhispanic,pct_white_nonhispanic,pct_asian_nonhispanic,pct_minority,households,pct_limited_or_no_english,GRR,L,NL,U,total,flag,lead_plus_suspected,requires_replacement,pct_lead,pct_grr,pct_suspected_lead,pct_lead_plus_suspected,pct_requires_replacement,pct_not_lead,N,Y,pct_replaced
"17031030101",17.5,49132,9.1,20.2,47.1,17.8,52.9,2162,6.4,0,5,29,28,62,false,33,33,8.1,0,45.2,53.2,53.2,46.8,62,0,0
"17031030701",19.7,51625,12.9,33.2,45.7,5.6,54.3,894,1.9,0,3,26,14,43,false,17,17,7,0,32.6,39.5,39.5,60.5,42,1,2.3
"17031070103",13.4,76477,6.3,8.7,69.2,6.1,30.8,1133,0,0,28,27,32,87,false,60,60,32.2,0,36.8,69,69,31,84,3,3.4
"17031770602",3.8,85913,54.8,1,32.7,8.7,67.3,1541,18.8,,,,,,,,,,,,,,,,,
"17031841200",14,62819,83,2.5,13.6,0,86.4,1796,13.3,8,73,115,550,746,false,623,631,9.8,1.1,73.7,83.5,84.6,15.4,734,12,1.6
"17031831900",10.8,131567,8.5,2.3,80.3,5.8,19.7,1435,0.9,10,64,208,219,501,false,283,293,12.8,2,43.7,56.5,58.5,41.5,497,4,0.8
"17031832600",2.2,211324,4.5,1,85,3.6,15,1734,0.2,7,61,542,319,929,false,380,387,6.6,0.8,34.3,40.9,41.7,58.3,923,6,0.6
"17031836900",73.4,43333,11.8,84.1,2,0,98,644,0,0,61,53,69,183,false,130,130,33.3,0,37.7,71,71,29,181,2,1.1
"17031842300",10.3,173082,6.9,15.4,61,8.5,39,1752,0.5,4,31,296,208,539,false,239,243,5.8,0.7,38.6,44.3,45.1,54.9,537,2,0.4
"17031839500",15.1,55625,20.2,51.8,13.6,3.8,86.4,777,1.8,3,19,138,145,305,false,164,167,6.2,1,47.5,53.8,54.8,45.2,303,2,0.7
"17031835800",19.8,84500,9.2,89.9,0.2,0,99.8,916,0.5,2,30,117,105,254,false,135,137,11.8,0.8,41.3,53.1,53.9,46.1,252,2,0.8
"17031838800",42.9,24432,43.2,52,1.9,0,98.1,1082,17.6,31,208,108,323,670,false,531,562,31,4.6,48.2,79.3,83.9,16.1,657,13,1.9
"17031843400",17.4,43021,45.4,54.1,0,0,100,475,8.7,8,102,33,214,357,false,316,324,28.6,2.2,59.9,88.5,90.8,9.2,352,5,1.4
"17031842600",16.1,91667,39.7,5.5,37,12.9,63,1620,11.2,38,307,445,508,1298,false,815,853,23.7,2.9,39.1,62.8,65.7,34.3,1279,19,1.5
"17031841900",13.5,136955,12.9,20.4,39.8,22.2,60.2,1669,3.1,5,3,357,79,444,false,82,87,0.7,1.1,17.8,18.5,19.6,80.4,444,0,0
"17031843200",13.5,70525,61.3,2.1,32.7,1.6,67.3,983,13.1,10,113,181,320,624,false,433,443,18.1,1.6,51.3,69.4,71,29,614,10,1.6
"17031301803",13,59213,97.2,0,2.8,0,97.2,1179,18.2,5,239,29,399,672,false,638,643,35.6,0.7,59.4,94.9,95.7,4.3,662,10,1.5
"17031320101",3.6,129221,7.8,9.2,55.1,21.6,44.9,5481,5.6,0,0,71,5,76,false,5,5,0,0,6.6,6.6,6.6,93.4,76,0,0
"17031330103",13.8,122957,5.8,22.8,57.5,11.5,42.5,4902,1,3,8,348,43,402,false,51,54,2,0.7,10.7,12.7,13.4,86.6,402,0,0
"17031380600",32,35804,2.4,67.7,13.5,1.5,86.5,2087,0.4,1,104,199,106,410,false,210,211,25.4,0.2,25.9,51.2,51.5,48.5,405,5,1.2
"17031330102",0.9,110464,9.2,25.9,45.4,15.1,54.6,6366,0,0,2,155,31,188,false,33,33,1.1,0,16.5,17.6,17.6,82.4,188,0,0
"17031330101",6,181013,6.3,4.2,54.4,28.1,45.6,2709,6.3,2,1,88,9,100,false,10,12,1,2,9,10,12,88,100,0,0
"17031460800",40,33048,41,57.8,0.8,0.4,99.2,1370,12.1,30,165,31,410,636,false,575,605,25.9,4.7,64.5,90.4,95.1,4.9,629,7,1.1
"17031630600",31.4,48398,86,8.1,4.7,1.2,95.3,855,19.4,15,96,80,391,582,false,487,502,16.5,2.6,67.2,83.7,86.3,13.7,580,2,0.3
"17031490200",13.7,65268,0.5,90.8,3.4,0.9,96.6,1391,0.3,21,535,92,648,1296,false,1183,1204,41.3,1.6,50,91.3,92.9,7.1,1272,24,1.9
"17031612200",25.5,46227,61.8,33.7,0,4.6,100,1155,20.2,13,202,44,401,660,false,603,616,30.6,2,60.8,91.4,93.3,6.7,652,8,1.2
"17031844700",28.1,69583,27.6,67.8,1.7,1.5,98.3,683,4,12,93,94,241,440,false,334,346,21.1,2.7,54.8,75.9,78.6,21.4,410,30,6.8
"17031844600",20.6,56848,13.9,74.8,5,0.3,95,851,0.6,0,12,68,84,164,false,96,96,7.3,0,51.2,58.5,58.5,41.5,163,1,0.6
"17031320102",10.3,109211,9.9,1,57.4,28.3,42.6,2748,0,0,0,145,13,158,false,13,13,0,0,8.2,8.2,8.2,91.8,158,0,0
"17031730202",4.5,81250,0.7,97.8,1.4,0,98.6,966,0,21,454,38,519,1032,false,973,994,44,2,50.3,94.3,96.3,3.7,1010,22,2.1
"17031220701",8,79948,57.2,0,38.4,1.4,61.6,1141,12.6,8,194,55,210,467,false,404,412,41.5,1.7,45,86.5,88.2,11.8,462,5,1.1
"17031063302",6.1,96364,3.4,3,78.2,10.6,21.8,2856,2,0,7,36,36,79,false,43,43,8.9,0,45.6,54.4,54.4,45.6,79,0,0
"17031252201",32.4,45458,2.4,94.1,3.1,0.2,96.9,1071,0.4,9,254,43,287,593,false,541,550,42.8,1.5,48.4,91.2,92.7,7.3,585,8,1.3
"17031660302",11.2,49101,78.9,20.8,0.3,0,99.7,1454,25.1,14,309,16,500,839,false,809,823,36.8,1.7,59.6,96.4,98.1,1.9,831,8,1
"17031660301",29.8,28846,72,26.4,1.6,0,98.4,642,20.3,6,76,10,163,255,false,239,245,29.8,2.4,63.9,93.7,96.1,3.9,250,5,2
"17031835600",69.8,14074,1.7,92.2,0,0.2,100,311,0,5,144,32,93,274,false,237,242,52.6,1.8,33.9,86.5,88.3,11.7,269,5,1.8
"17031840000",19.1,87731,15.9,0.8,34.6,47.1,65.4,1027,19.9,5,81,424,271,781,false,352,357,10.4,0.6,34.7,45.1,45.7,54.3,770,11,1.4
"17031836400",30.8,27012,7.9,80.6,4.7,0.7,95.3,1842,0,4,28,292,103,427,false,131,135,6.6,0.9,24.1,30.7,31.6,68.4,422,5,1.2
"17031836100",37.4,19645,0,96.7,0.4,0,99.6,773,0,3,16,53,127,199,false,143,146,8,1.5,63.8,71.9,73.4,26.6,197,2,1
