,LSLR Program,Public or Consumer,Work Address,Status,Zip,Ward,Date Completed,program,ZIP,BOTH AS REQUIRED or Consumer,Type of Service,completed_year,completed_month_year,completed_day,clean_address,id,program_clean_address,full_address,row,classification_for_entire_service_line,stnum1,stnum2,stdir,stname,sttype,zip,geocoder,lat,long,geoid,matched_address,m_is_intersection,_merge
0,Breaks & Leaks LSLR,CONSUMER,264 W 23RD PL,Completed,,11.0,2025-12-30 16:12:00,Breaks Leaks,60616.0,,,2025.0,12/2025,12-30,264 W 23RD PL,3,Breaks Leaks 264 W 23RD PL,,,,,,,,,,,,,,,,left_only
1,Breaks & Leaks LSLR,CONSUMER,3740 N PLAINFIELD AVE,Completed,,38.0,2025-12-30 16:00:00,Breaks Leaks,60634.0,,,2025.0,12/2025,12-30,3740 N PLAINFIELD AVE,4,Breaks Leaks 3740 N PLAINFIELD AVE,,,,,,,,,,,,,,,,left_only
2,Breaks & Leaks LSLR,CONSUMER,4894 S ARCHER AVE,Completed,,14.0,2025-12-30 16:00:00,Breaks Leaks,60632.0,,,2025.0,12/2025,12-30,4894 S ARCHER AVE,5,Breaks Leaks 4894 S ARCHER AVE,,,,,,,,,,,,,,,,left_only
3,Breaks & Leaks LSLR,PUBLIC,4894 S ARCHER AVE,Completed,,14.0,2025-12-30 00:00:00,Breaks Leaks,60632.0,,,2025.0,12/2025,12-30,4894 S ARCHER AVE,7,Breaks Leaks 4894 S ARCHER AVE,,,,,,,,,,,,,,,,left_only
4,CIP SM LSLR,CONSUMER,456 W 33RD ST,Completed,,11.0,2025-12-30 00:00:00,CIP Sewer Main,60616.0,,,2025.0,12/2025,12-30,456 W 33RD ST,8,CIP Sewer Main 456 W 33RD ST,,,,,,,,,,,,,,,,left_only
5,Breaks & Leaks LSLR,PUBLIC,5505 N NAGLE AVE,Completed,,41.0,2025-12-30 00:00:00,Breaks Leaks,60630.0,,,2025.0,12/2025,12-30,5505 N NAGLE AVE,9,Breaks Leaks 5505 N NAGLE AVE,,,,,,,,,,,,,,,,left_only
6,Breaks & Leaks LSLR,PUBLIC,9918 S WENTWORTH AVE,Completed,,9.0,2025-12-30 00:00:00,Breaks Leaks,60628.0,,,2025.0,12/2025,12-30,9918 S WENTWORTH AVE,10,Breaks Leaks 9918 S WENTWORTH AVE,,,,,,,,,,,,,,,,left_only
7,Breaks & Leaks LSLR,CONSUMER,9918 S WENTWORTH AVE,Completed,,9.0,2025-12-30 00:00:00,Breaks Leaks,60628.0,,,2025.0,12/2025,12-30,9918 S WENTWORTH AVE,11,Breaks Leaks 9918 S WENTWORTH AVE,,,,,,,,,,,,,,,,left_only
8,CIP WM LSLR,CONSUMER,1006 N ST LOUIS AVE,Completed,,36.0,2025-12-30 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-30,1006 N ST LOUIS AVE,12,CIP Water Main 1006 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
9,CIP WM LSLR,CONSUMER,11442 S VINCENNES AVE,Completed,,19.0,2025-12-30 00:00:00,CIP Water Main,60643.0,,,2025.0,12/2025,12-30,11442 S VINCENNES AVE,14,CIP Water Main 11442 S VINCENNES AVE,,,,,,,,,,,,,,,,left_only
