,id,address,city,state,zipcode,geocoded_address,is_match,is_exact,returned_address,coordinates,tiger_line,side,state_fips,county_fips,tract,block,longitude,latitude
0,3,264 W 23RD PL,Chicago,IL,,"264 W 23RD PL, Chicago, IL, nan",Match,Non_Exact,"264 W 23RD PL, CHICAGO, IL, 60616","-87.633821502999,41.850098321658",605497464,R,17,031,841100,2004,-87.633821502999,41.850098321658
1,4,3740 N PLAINFIELD AVE,Chicago,IL,,"3740 N PLAINFIELD AVE, Chicago, IL, nan",Match,Non_Exact,"3740 N PLAINFIELD AVE, CHICAGO, IL, 60634","-87.834154787731,41.947394118975",111746395,L,17,031,170500,4009,-87.834154787731,41.947394118975
2,5,4894 S ARCHER AVE,Chicago,IL,,"4894 S ARCHER AVE, Chicago, IL, nan",Match,Non_Exact,"4894 S ARCHER AVE, CHICAGO, IL, 60632","-87.720135877241,41.804413524556",112045503,R,17,031,570400,2008,-87.720135877241,41.804413524556
3,7,4894 S ARCHER AVE,Chicago,IL,,"4894 S ARCHER AVE, Chicago, IL, nan",Match,Non_Exact,"4894 S ARCHER AVE, CHICAGO, IL, 60632","-87.720135877241,41.804413524556",112045503,R,17,031,570400,2008,-87.720135877241,41.804413524556
4,8,456 W 33RD ST,Chicago,IL,,"456 W 33RD ST, Chicago, IL, nan",Match,Non_Exact,"456 W 33RD ST, CHICAGO, IL, 60616","-87.638004053994,41.834567199699",605495485,R,17,031,840000,1015,-87.638004053994,41.834567199699
5,9,5505 N NAGLE AVE,Chicago,IL,,"5505 N NAGLE AVE, Chicago, IL, nan",Match,Non_Exact,"5505 N NAGLE AVE, CHICAGO, IL, 60630","-87.787692522606,41.981168820705",111750117,R,17,031,110300,1004,-87.787692522606,41.981168820705
6,10,9918 S WENTWORTH AVE,Chicago,IL,,"9918 S WENTWORTH AVE, Chicago, IL, nan",Match,Non_Exact,"9918 S WENTWORTH AVE, CHICAGO, IL, 60628","-87.628552246148,41.71381811825",111833891,R,17,031,490700,3000,-87.628552246148,41.71381811825
7,11,9918 S WENTWORTH AVE,Chicago,IL,,"9918 S WENTWORTH AVE, Chicago, IL, nan",Match,Non_Exact,"9918 S WENTWORTH AVE, CHICAGO, IL, 60628","-87.628552246148,41.71381811825",111833891,R,17,031,490700,3000,-87.628552246148,41.71381811825
8,12,1006 N ST LOUIS AVE,Chicago,IL,,"1006 N ST LOUIS AVE, Chicago, IL, nan",Match,Non_Exact,"1006 N ST LOUIS AVE, CHICAGO, IL, 60651","-87.714079726769,41.899292671932",111759593,L,17,031,231100,1008,-87.714079726769,41.899292671932
9,14,11442 S VINCENNES AVE,Chicago,IL,,"11442 S VINCENNES AVE, Chicago, IL, nan",Match,Non_Exact,"11442 S VINCENNES AVE, CHICAGO, IL, 60643","-87.667146351028,41.685858390698",111823642,R,17,031,750500,3037,-87.667146351028,41.685858390698
