id,address,city,state,zipcode,geocoded_address,is_match,is_exact,returned_address,coordinates,tiger_line,side,state_fips,county_fips,tract,block,longitude,latitude
3,264 W 23RD PL,Chicago,IL,,"264 W 23RD PL, Chicago, IL, nan",Match,Non_Exact,"264 W 23RD PL, CHICAGO, IL, 60616","-87.633821502999,41.850098321658",605497464,R,17,031,841100,2004,-87.633821502999,41.850098321658
4,3740 N PLAINFIELD AVE,Chicago,IL,,"3740 N PLAINFIELD AVE, Chicago, IL, nan",Match,Non_Exact,"3740 N PLAINFIELD AVE, CHICAGO, IL, 60634","-87.834154787731,41.947394118975",111746395,L,17,031,170500,4009,-87.834154787731,41.947394118975
5,4894 S ARCHER AVE,Chicago,IL,,"4894 S ARCHER AVE, Chicago, IL, nan",Match,Non_Exact,"4894 S ARCHER AVE, CHICAGO, IL, 60632","-87.720135877241,41.804413524556",112045503,R,17,031,570400,2008,-87.720135877241,41.804413524556
7,4894 S ARCHER AVE,Chicago,IL,,"4894 S ARCHER AVE, Chicago, IL, nan",Match,Non_Exact,"4894 S ARCHER AVE, CHICAGO, IL, 60632","-87.720135877241,41.804413524556",112045503,R,17,031,570400,2008,-87.720135877241,41.804413524556
8,456 W 33RD ST,Chicago,IL,,"456 W 33RD ST, Chicago, IL, nan",Match,Non_Exact,"456 W 33RD ST, CHICAGO, IL, 60616","-87.638004053994,41.834567199699",605495485,R,17,031,840000,1015,-87.638004053994,41.834567199699
9,5505 N NAGLE AVE,Chicago,IL,,"5505 N NAGLE AVE, Chicago, IL, nan",Match,Non_Exact,"5505 N NAGLE AVE, CHICAGO, IL, 60630","-87.787692522606,41.981168820705",111750117,R,17,031,110300,1004,-87.787692522606,41.981168820705
10,9918 S WENTWORTH AVE,Chicago,IL,,"9918 S WENTWORTH AVE, Chicago, IL, nan",Match,Non_Exact,"9918 S WENTWORTH AVE, CHICAGO, IL, 60628","-87.628552246148,41.71381811825",111833891,R,17,031,490700,3000,-87.628552246148,41.71381811825
11,9918 S WENTWORTH AVE,Chicago,IL,,"9918 S WENTWORTH AVE, Chicago, IL, nan",Match,Non_Exact,"9918 S WENTWORTH AVE, CHICAGO, IL, 60628","-87.628552246148,41.71381811825",111833891,R,17,031,490700,3000,-87.628552246148,41.71381811825
12,1006 N ST LOUIS AVE,Chicago,IL,,"1006 N ST LOUIS AVE, Chicago, IL, nan",Match,Non_Exact,"1006 N ST LOUIS AVE, CHICAGO, IL, 60651","-87.714079726769,41.899292671932",111759593,L,17,031,231100,1008,-87.714079726769,41.899292671932
14,11442 S VINCENNES AVE,Chicago,IL,,"11442 S VINCENNES AVE, Chicago, IL, nan",Match,Non_Exact,"11442 S VINCENNES AVE, CHICAGO, IL, 60643","-87.667146351028,41.685858390698",111823642,R,17,031,750500,3037,-87.667146351028,41.685858390698
15,7426 S LOWE AVE,Chicago,IL,,"7426 S LOWE AVE, Chicago, IL, nan",Match,Non_Exact,"7426 S LOWE AVE, CHICAGO, IL, 60621","-87.640687437217,41.759538803622",111831305,R,17,031,681300,1007,-87.640687437217,41.759538803622
17,4835 N KARLOV AVE,Chicago,IL,,"4835 N KARLOV AVE, Chicago, IL, nan",Match,Non_Exact,"4835 N KARLOV AVE, CHICAGO, IL, 60630","-87.73044091327,41.96899968548",605169938,R,17,031,140400,1012,-87.73044091327,41.96899968548
20,4835 N KARLOV AVE,Chicago,IL,,"4835 N KARLOV AVE, Chicago, IL, nan",Match,Non_Exact,"4835 N KARLOV AVE, CHICAGO, IL, 60630","-87.73044091327,41.96899968548",605169938,R,17,031,140400,1012,-87.73044091327,41.96899968548
21,456 W 33RD ST,Chicago,IL,,"456 W 33RD ST, Chicago, IL, nan",Match,Non_Exact,"456 W 33RD ST, CHICAGO, IL, 60616","-87.638004053994,41.834567199699",605495485,R,17,031,840000,1015,-87.638004053994,41.834567199699
22,7426 S LOWE AVE,Chicago,IL,,"7426 S LOWE AVE, Chicago, IL, nan",Match,Non_Exact,"7426 S LOWE AVE, CHICAGO, IL, 60621","-87.640687437217,41.759538803622",111831305,R,17,031,681300,1007,-87.640687437217,41.759538803622
23,11442 S VINCENNES AVE,Chicago,IL,,"11442 S VINCENNES AVE, Chicago, IL, nan",Match,Non_Exact,"11442 S VINCENNES AVE, CHICAGO, IL, 60643","-87.667146351028,41.685858390698",111823642,R,17,031,750500,3037,-87.667146351028,41.685858390698
24,7010 N OZARK AVE,Chicago,IL,,"7010 N OZARK AVE, Chicago, IL, nan",Match,Non_Exact,"7010 N OZARK AVE, CHICAGO, IL, 60631","-87.820123448072,42.007985411654",605263880,L,17,031,090200,4011,-87.820123448072,42.007985411654
25,7222 S LAFAYETTE AVE,Chicago,IL,,"7222 S LAFAYETTE AVE, Chicago, IL, nan",Match,Non_Exact,"7222 S LAFAYETTE AVE, CHICAGO, IL, 60621","-87.626589434925,41.763223622263",111832301,R,17,031,691100,1006,-87.626589434925,41.763223622263
27,7200 S TROY ST,Chicago,IL,,"7200 S TROY ST, Chicago, IL, nan",Match,Non_Exact,"7200 S TROY ST, CHICAGO, IL, 60629","-87.701613608065,41.76251681622",111819546,R,17,031,661100,3016,-87.701613608065,41.76251681622
28,922 N ST LOUIS AVE,Chicago,IL,,"922 N ST LOUIS AVE, Chicago, IL, nan",Match,Non_Exact,"922 N ST LOUIS AVE, CHICAGO, IL, 60651","-87.714024364456,41.897745332292",111759614,L,17,031,231100,1009,-87.714024364456,41.897745332292
29,922 N ST LOUIS AVE,Chicago,IL,,"922 N ST LOUIS AVE, Chicago, IL, nan",Match,Non_Exact,"922 N ST LOUIS AVE, CHICAGO, IL, 60651","-87.714024364456,41.897745332292",111759614,L,17,031,231100,1009,-87.714024364456,41.897745332292
30,7200 S TROY ST,Chicago,IL,,"7200 S TROY ST, Chicago, IL, nan",Match,Non_Exact,"7200 S TROY ST, CHICAGO, IL, 60629","-87.701613608065,41.76251681622",111819546,R,17,031,661100,3016,-87.701613608065,41.76251681622
31,7010 N OZARK AVE,Chicago,IL,,"7010 N OZARK AVE, Chicago, IL, nan",Match,Non_Exact,"7010 N OZARK AVE, CHICAGO, IL, 60631","-87.820123448072,42.007985411654",605263880,L,17,031,090200,4011,-87.820123448072,42.007985411654
32,264 W 23RD PL,Chicago,IL,,"264 W 23RD PL, Chicago, IL, nan",Match,Non_Exact,"264 W 23RD PL, CHICAGO, IL, 60616","-87.633821502999,41.850098321658",605497464,R,17,031,841100,2004,-87.633821502999,41.850098321658
33,6536 W 64TH ST,Chicago,IL,,"6536 W 64TH ST, Chicago, IL, nan",Match,Non_Exact,"6536 W 64TH ST, CHICAGO, IL, 60638","-87.784556647027,41.775857184547",111810712,R,17,031,640500,1014,-87.784556647027,41.775857184547
34,4650 W ADAMS ST,Chicago,IL,,"4650 W ADAMS ST, Chicago, IL, nan",Match,Non_Exact,"4650 W ADAMS ST, CHICAGO, IL, 60644","-87.741655557136,41.878138124374",111765716,R,17,031,252202,1009,-87.741655557136,41.878138124374
35,139 E 123RD ST,Chicago,IL,,"139 E 123RD ST, Chicago, IL, nan",Match,Non_Exact,"139 E 123RD ST, CHICAGO, IL, 60628","-87.618959395846,41.670715574714",657171775,R,17,031,530600,2021,-87.618959395846,41.670715574714
36,2335 W MONROE ST,Chicago,IL,,"2335 W MONROE ST, Chicago, IL, nan",Match,Non_Exact,"2335 W MONROE ST, CHICAGO, IL, 60612","-87.684720117285,41.879822093362",642123521,L,17,031,280900,1000,-87.684720117285,41.879822093362
37,2335 W MONROE ST,Chicago,IL,,"2335 W MONROE ST, Chicago, IL, nan",Match,Non_Exact,"2335 W MONROE ST, CHICAGO, IL, 60612","-87.684720117285,41.879822093362",642123521,L,17,031,280900,1000,-87.684720117285,41.879822093362
38,4650 W ADAMS ST,Chicago,IL,,"4650 W ADAMS ST, Chicago, IL, nan",Match,Non_Exact,"4650 W ADAMS ST, CHICAGO, IL, 60644","-87.741655557136,41.878138124374",111765716,R,17,031,252202,1009,-87.741655557136,41.878138124374
39,3740 N PLAINFIELD AVE,Chicago,IL,,"3740 N PLAINFIELD AVE, Chicago, IL, nan",Match,Non_Exact,"3740 N PLAINFIELD AVE, CHICAGO, IL, 60634","-87.834154787731,41.947394118975",111746395,L,17,031,170500,4009,-87.834154787731,41.947394118975
40,10300 S AVENUE M,Chicago,IL,,"10300 S AVENUE M, Chicago, IL, nan",Match,Non_Exact,"10300 S AVE M, CHICAGO, IL, 60617","-87.53778354215,41.708157874804",111782216,R,17,031,520300,1002,-87.53778354215,41.708157874804
42,5505 N NAGLE AVE,Chicago,IL,,"5505 N NAGLE AVE, Chicago, IL, nan",Match,Non_Exact,"5505 N NAGLE AVE, CHICAGO, IL, 60630","-87.787692522606,41.981168820705",111750117,R,17,031,110300,1004,-87.787692522606,41.981168820705
43,3104 S CANAL ST,Chicago,IL,,"3104 S CANAL ST, Chicago, IL, nan",Match,Non_Exact,"3104 S CANAL ST, CHICAGO, IL, 60616","-87.637827823196,41.837979008578",605507203,R,17,031,840000,1002,-87.637827823196,41.837979008578
45,2729 W WILCOX ST,Chicago,IL,,"2729 W WILCOX ST, Chicago, IL, nan",Match,Non_Exact,"2729 W WILCOX ST, CHICAGO, IL, 60612","-87.694605771416,41.879210362963",111766034,L,17,031,837400,1012,-87.694605771416,41.879210362963
46,212 S TROY ST,Chicago,IL,,"212 S TROY ST, Chicago, IL, nan",Match,Non_Exact,"212 S TROY ST, CHICAGO, IL, 60612","-87.704885125875,41.877877851924",605043896,R,17,031,271200,1014,-87.704885125875,41.877877851924
47,2433 W CORTEZ ST,Chicago,IL,,"2433 W CORTEZ ST, Chicago, IL, nan",Match,Non_Exact,"2433 W CORTEZ ST, CHICAGO, IL, 60622","-87.688196842,41.900220717984",605058561,L,17,031,242500,1014,-87.688196842,41.900220717984
48,5241 N ASHLAND AVE,Chicago,IL,,"5241 N ASHLAND AVE, Chicago, IL, nan",Match,Non_Exact,"5241 N ASHLAND AVE, CHICAGO, IL, 60640","-87.669566531231,41.977312065195",605166713,R,17,031,030900,4001,-87.669566531231,41.977312065195
49,3228 S CANAL ST,Chicago,IL,,"3228 S CANAL ST, Chicago, IL, nan",Match,Non_Exact,"3228 S CANAL ST, CHICAGO, IL, 60616","-87.637773737876,41.835791543888",111828706,R,17,031,840000,1015,-87.637773737876,41.835791543888
50,3228 S CANAL ST,Chicago,IL,,"3228 S CANAL ST, Chicago, IL, nan",Match,Non_Exact,"3228 S CANAL ST, CHICAGO, IL, 60616","-87.637773737876,41.835791543888",111828706,R,17,031,840000,1015,-87.637773737876,41.835791543888
51,6729 N WASHTENAW AVE,Chicago,IL,,"6729 N WASHTENAW AVE, Chicago, IL, nan",Match,Non_Exact,"6729 N WASHTENAW AVE, CHICAGO, IL, 60645","-87.697285843165,42.00376847353",605168969,R,17,031,020602,4012,-87.697285843165,42.00376847353
52,1040 N ST LOUIS AVE,Chicago,IL,,"1040 N ST LOUIS AVE, Chicago, IL, nan",Match,Non_Exact,"1040 N ST LOUIS AVE, CHICAGO, IL, 60651","-87.714097549967,41.899883350927",111759593,L,17,031,231100,1008,-87.714097549967,41.899883350927
54,1041 N ST LOUIS AVE,Chicago,IL,,"1041 N ST LOUIS AVE, Chicago, IL, nan",Match,Non_Exact,"1041 N ST LOUIS AVE, CHICAGO, IL, 60651","-87.713943640813,41.899886146556",111759593,R,17,031,836600,2023,-87.713943640813,41.899886146556
55,2433 W CORTEZ ST,Chicago,IL,,"2433 W CORTEZ ST, Chicago, IL, nan",Match,Non_Exact,"2433 W CORTEZ ST, CHICAGO, IL, 60622","-87.688196842,41.900220717984",605058561,L,17,031,242500,1014,-87.688196842,41.900220717984
56,1641 W FOSTER AVE,Chicago,IL,,"1641 W FOSTER AVE, Chicago, IL, nan",Match,Non_Exact,"1641 W FOSTER AVE, CHICAGO, IL, 60640","-87.670826299652,41.976097865973",605185595,L,17,031,031000,1002,-87.670826299652,41.976097865973
57,2103 W FLETCHER ST,Chicago,IL,,"2103 W FLETCHER ST, Chicago, IL, nan",Match,Non_Exact,"2103 W FLETCHER ST, CHICAGO, IL, 60618","-87.680878551601,41.938573557384",111761058,L,17,031,051400,1007,-87.680878551601,41.938573557384
58,2103 W FLETCHER ST,Chicago,IL,,"2103 W FLETCHER ST, Chicago, IL, nan",Match,Non_Exact,"2103 W FLETCHER ST, CHICAGO, IL, 60618","-87.680878551601,41.938573557384",111761058,L,17,031,051400,1007,-87.680878551601,41.938573557384
59,8714 S JEFFERY BLVD,Chicago,IL,,"8714 S JEFFERY BLVD, Chicago, IL, nan",Match,Non_Exact,"8714 S JEFFERY BLVD, CHICAGO, IL, 60617","-87.575780315795,41.736386066585",616793449,R,17,031,480100,2030,-87.575780315795,41.736386066585
60,8243 S BUFFALO AVE,Chicago,IL,,"8243 S BUFFALO AVE, Chicago, IL, nan",Match,Non_Exact,"8243 S BUFFALO AVE, CHICAGO, IL, 60617","-87.544201016276,41.745272253465",111781630,L,17,031,460100,1016,-87.544201016276,41.745272253465
61,1040 N ST LOUIS AVE,Chicago,IL,,"1040 N ST LOUIS AVE, Chicago, IL, nan",Match,Non_Exact,"1040 N ST LOUIS AVE, CHICAGO, IL, 60651","-87.714097549967,41.899883350927",111759593,L,17,031,231100,1008,-87.714097549967,41.899883350927
62,5241 N ASHLAND AVE,Chicago,IL,,"5241 N ASHLAND AVE, Chicago, IL, nan",Match,Non_Exact,"5241 N ASHLAND AVE, CHICAGO, IL, 60640","-87.669566531231,41.977312065195",605166713,R,17,031,030900,4001,-87.669566531231,41.977312065195
63,3259 S CANAL ST,Chicago,IL,,"3259 S CANAL ST, Chicago, IL, nan",Match,Non_Exact,"3259 S CANAL ST, CHICAGO, IL, 60616","-87.63760696511,41.83526944894",111828706,L,17,031,840000,1013,-87.63760696511,41.83526944894
64,212 S TROY ST,Chicago,IL,,"212 S TROY ST, Chicago, IL, nan",Match,Non_Exact,"212 S TROY ST, CHICAGO, IL, 60612","-87.704885125875,41.877877851924",605043896,R,17,031,271200,1014,-87.704885125875,41.877877851924
65,6841 S PAULINA ST,Chicago,IL,,"6841 S PAULINA ST, Chicago, IL, nan",Match,Non_Exact,"6841 S PAULINA ST, CHICAGO, IL, 60636","-87.666296929103,41.769590768999",657092673,L,17,031,671500,3001,-87.666296929103,41.769590768999
66,1042 N ST LOUIS AVE,Chicago,IL,,"1042 N ST LOUIS AVE, Chicago, IL, nan",Match,Non_Exact,"1042 N ST LOUIS AVE, CHICAGO, IL, 60651","-87.714098689763,41.899918114816",111759593,L,17,031,231100,1008,-87.714098689763,41.899918114816
67,10805 S EDBROOKE AVE,Chicago,IL,,"10805 S EDBROOKE AVE, Chicago, IL, nan",Match,Non_Exact,"10805 S EDBROOKE AVE, CHICAGO, IL, 60628","-87.619547911438,41.697973580352",111773733,L,17,031,490901,2004,-87.619547911438,41.697973580352
