,program,Public or Consumer,Work Address,Status,ZIP,Ward,Date Completed,completed_year,completed_month_year,completed_day,clean_address,id,program_clean_address,full_address
482,Block Level LSLR,CONSUMER,6011 S CAMPBELL AVE,Completed,60629,16,2025-12-19 12:13:00,2025.0,12/2025,12-19,6011 S CAMPBELL AVE,1,Block Level LSLR 6011 S CAMPBELL AVE,"6011 S CAMPBELL AVE, CHICAGO, IL 60629"
483,Block Level LSLR,PUBLIC,6011 S CAMPBELL AVE,Completed,60629,16,2025-12-19 12:10:00,2025.0,12/2025,12-19,6011 S CAMPBELL AVE,2,Block Level LSLR 6011 S CAMPBELL AVE,"6011 S CAMPBELL AVE, CHICAGO, IL 60629"
71,Block Level LSLR,CONSUMER,2500 10 W 60TH ST,Completed,60629,16,2025-12-19 00:00:00,2025.0,12/2025,12-19,2500 W 60TH ST,3,Block Level LSLR 2500 W 60TH ST,"2500 W 60TH ST, CHICAGO, IL 60629"
72,Block Level LSLR,PUBLIC,2500 10 W 60TH ST,Completed,60629,16,2025-12-19 00:00:00,2025.0,12/2025,12-19,2500 W 60TH ST,4,Block Level LSLR 2500 W 60TH ST,"2500 W 60TH ST, CHICAGO, IL 60629"
474,Block Level LSLR,CONSUMER,6000 S CAMPBELL AVE,Completed,60629,16,2025-12-18 00:00:00,2025.0,12/2025,12-18,6000 S CAMPBELL AVE,5,Block Level LSLR 6000 S CAMPBELL AVE,"6000 S CAMPBELL AVE, CHICAGO, IL 60629"
453,Block Level LSLR,PUBLIC,5948 S CAMPBELL AVE,Completed,60629,16,2025-12-18 00:00:00,2025.0,12/2025,12-18,5948 S CAMPBELL AVE,6,Block Level LSLR 5948 S CAMPBELL AVE,"5948 S CAMPBELL AVE, CHICAGO, IL 60629"
413,Block Level LSLR,PUBLIC,5932 S CAMPBELL AVE,Completed,60629,16,2025-12-18 00:00:00,2025.0,12/2025,12-18,5932 S CAMPBELL AVE,7,Block Level LSLR 5932 S CAMPBELL AVE,"5932 S CAMPBELL AVE, CHICAGO, IL 60629"
420,Block Level LSLR,CONSUMER,5936 S CAMPBELL AVE,Completed,60629,16,2025-12-18 00:00:00,2025.0,12/2025,12-18,5936 S CAMPBELL AVE,8,Block Level LSLR 5936 S CAMPBELL AVE,"5936 S CAMPBELL AVE, CHICAGO, IL 60629"
421,Block Level LSLR,PUBLIC,5936 S CAMPBELL AVE,Completed,60629,16,2025-12-18 00:00:00,2025.0,12/2025,12-18,5936 S CAMPBELL AVE,9,Block Level LSLR 5936 S CAMPBELL AVE,"5936 S CAMPBELL AVE, CHICAGO, IL 60629"
452,Block Level LSLR,CONSUMER,5948 S CAMPBELL AVE,Completed,60629,16,2025-12-18 00:00:00,2025.0,12/2025,12-18,5948 S CAMPBELL AVE,10,Block Level LSLR 5948 S CAMPBELL AVE,"5948 S CAMPBELL AVE, CHICAGO, IL 60629"
475,Block Level LSLR,PUBLIC,6000 S CAMPBELL AVE,Completed,60629,16,2025-12-18 00:00:00,2025.0,12/2025,12-18,6000 S CAMPBELL AVE,11,Block Level LSLR 6000 S CAMPBELL AVE,"6000 S CAMPBELL AVE, CHICAGO, IL 60629"
704,Block Level LSLR,CONSUMER,7548 S MARSHFIELD AVE,Completed,60620,17,2025-12-18 00:00:00,2025.0,12/2025,12-18,7548 S MARSHFIELD AVE,12,Block Level LSLR 7548 S MARSHFIELD AVE,"7548 S MARSHFIELD AVE, CHICAGO, IL 60620"
705,Block Level LSLR,PUBLIC,7548 S MARSHFIELD AVE,Completed,60620,17,2025-12-18 00:00:00,2025.0,12/2025,12-18,7548 S MARSHFIELD AVE,13,Block Level LSLR 7548 S MARSHFIELD AVE,"7548 S MARSHFIELD AVE, CHICAGO, IL 60620"
412,Block Level LSLR,CONSUMER,5932 S CAMPBELL AVE,Completed,60629,16,2025-12-18 00:00:00,2025.0,12/2025,12-18,5932 S CAMPBELL AVE,14,Block Level LSLR 5932 S CAMPBELL AVE,"5932 S CAMPBELL AVE, CHICAGO, IL 60629"
435,Block Level LSLR,PUBLIC,5941 S CAMPBELL AVE,Completed,60629,16,2025-12-17 00:00:00,2025.0,12/2025,12-17,5941 S CAMPBELL AVE,16,Block Level LSLR 5941 S CAMPBELL AVE,"5941 S CAMPBELL AVE, CHICAGO, IL 60629"
434,Block Level LSLR,CONSUMER,5941 S CAMPBELL AVE,Completed,60629,16,2025-12-17 00:00:00,2025.0,12/2025,12-17,5941 S CAMPBELL AVE,17,Block Level LSLR 5941 S CAMPBELL AVE,"5941 S CAMPBELL AVE, CHICAGO, IL 60629"
