,address,geocoded_address,returned_address,tiger_line,tract,longitude,latitude
0,6011 S CAMPBELL AVE,"6011 S CAMPBELL AVE, Chicago, IL, 60629","6011 S CAMPBELL AVE, CHICAGO, IL, 60629",111804823,835000,-87.686151139103,41.784467129116
1,6011 S CAMPBELL AVE,"6011 S CAMPBELL AVE, Chicago, IL, 60629","6011 S CAMPBELL AVE, CHICAGO, IL, 60629",111804823,835000,-87.686151139103,41.784467129116
2,2500 W 60TH ST,"2500 W 60TH ST, Chicago, IL, 60629","2500 W 60TH ST, CHICAGO, IL, 60629",605308184,835000,-87.686310582357,41.78475446124
3,2500 W 60TH ST,"2500 W 60TH ST, Chicago, IL, 60629","2500 W 60TH ST, CHICAGO, IL, 60629",605308184,835000,-87.686310582357,41.78475446124
4,6000 S CAMPBELL AVE,"6000 S CAMPBELL AVE, Chicago, IL, 60629","6000 S CAMPBELL AVE, CHICAGO, IL, 60629",111804823,835000,-87.686309136878,41.784638811931
5,5948 S CAMPBELL AVE,"5948 S CAMPBELL AVE, Chicago, IL, 60629","5948 S CAMPBELL AVE, CHICAGO, IL, 60629",605308083,835000,-87.686331347266,41.785504757961
6,5932 S CAMPBELL AVE,"5932 S CAMPBELL AVE, Chicago, IL, 60629","5932 S CAMPBELL AVE, CHICAGO, IL, 60629",605308083,835000,-87.686337788153,41.785745218659
7,5936 S CAMPBELL AVE,"5936 S CAMPBELL AVE, Chicago, IL, 60629","5936 S CAMPBELL AVE, CHICAGO, IL, 60629",605308083,835000,-87.686336177931,41.785685103485
8,5936 S CAMPBELL AVE,"5936 S CAMPBELL AVE, Chicago, IL, 60629","5936 S CAMPBELL AVE, CHICAGO, IL, 60629",605308083,835000,-87.686336177931,41.785685103485
9,5948 S CAMPBELL AVE,"5948 S CAMPBELL AVE, Chicago, IL, 60629","5948 S CAMPBELL AVE, CHICAGO, IL, 60629",605308083,835000,-87.686331347266,41.785504757961
10,6000 S CAMPBELL AVE,"6000 S CAMPBELL AVE, Chicago, IL, 60629","6000 S CAMPBELL AVE, CHICAGO, IL, 60629",111804823,835000,-87.686309136878,41.784638811931
11,7548 S MARSHFIELD AVE,"7548 S MARSHFIELD AVE, Chicago, IL, 60620","7548 S MARSHFIELD AVE, CHICAGO, IL, 60620",604996799,710400,-87.664877983999,41.756245749228
12,7548 S MARSHFIELD AVE,"7548 S MARSHFIELD AVE, Chicago, IL, 60620","7548 S MARSHFIELD AVE, CHICAGO, IL, 60620",604996799,710400,-87.664877983999,41.756245749228
13,5932 S CAMPBELL AVE,"5932 S CAMPBELL AVE, Chicago, IL, 60629","5932 S CAMPBELL AVE, CHICAGO, IL, 60629",605308083,835000,-87.686337788153,41.785745218659
14,5941 S CAMPBELL AVE,"5941 S CAMPBELL AVE, Chicago, IL, 60629","5941 S CAMPBELL AVE, CHICAGO, IL, 60629",605308083,835000,-87.686177580569,41.785502752225
15,5941 S CAMPBELL AVE,"5941 S CAMPBELL AVE, Chicago, IL, 60629","5941 S CAMPBELL AVE, CHICAGO, IL, 60629",605308083,835000,-87.686177580569,41.785502752225
16,7559 S MARSHFIELD AVE,"7559 S MARSHFIELD AVE, Chicago, IL, 60620","7559 S MARSHFIELD AVE, CHICAGO, IL, 60620",604996799,710400,-87.664722138065,41.7561699141
17,7559 S MARSHFIELD AVE,"7559 S MARSHFIELD AVE, Chicago, IL, 60620","7559 S MARSHFIELD AVE, CHICAGO, IL, 60620",604996799,710400,-87.664722138065,41.7561699141
18,5940 S CAMPBELL AVE,"5940 S CAMPBELL AVE, Chicago, IL, 60629","5940 S CAMPBELL AVE, CHICAGO, IL, 60629",605308083,835000,-87.686334567709,41.78562498831
19,5952 S CAMPBELL AVE,"5952 S CAMPBELL AVE, Chicago, IL, 60629","5952 S CAMPBELL AVE, CHICAGO, IL, 60629",605308083,835000,-87.686329737044,41.785444642786
