completed_month_year,program,replacements
1-01-22,Equity,3
1-01-22,Homeowner Initiated,1
1-01-23,Homeowner Initiated,13
1-01-23,Equity,55
1-01-23,Daycare,1
1-01-23,Breaks Leaks,51
1-01-24,Homeowner Initiated,50
1-01-24,Equity,9
1-01-24,Daycare,12
1-01-24,Breaks Leaks,142
1-01-25,Daycare,5
1-01-25,Equity,17
1-01-25,Homeowner Initiated,24
1-01-25,CIP Sewer and Water Main,47
1-01-25,Block Level LSLR,3
1-01-25,Breaks Leaks,234
1-02-22,Equity,4
1-02-22,Homeowner Initiated,5
1-02-23,Equity,60
1-02-23,Breaks Leaks,72
1-02-23,CIP Sewer and Water Main,5
1-02-23,Daycare,5
1-02-23,Homeowner Initiated,8
1-02-24,Breaks Leaks,227
1-02-24,Daycare,18
1-02-24,Equity,21
1-02-24,Homeowner Initiated,17
1-02-25,Block Level LSLR,21
1-02-25,Breaks Leaks,290
1-02-25,CIP Sewer and Water Main,39
1-02-25,Daycare,5
1-02-25,Equity,37
1-02-25,Homeowner Initiated,31
1-03-22,Homeowner Initiated,1
1-03-22,Equity,23
1-03-23,Breaks Leaks,142
1-03-23,CIP Sewer and Water Main,23
1-03-23,Daycare,7
1-03-23,Equity,86
1-03-23,Homeowner Initiated,13
1-03-24,CIP Sewer and Water Main,19
1-03-24,Daycare,16
1-03-24,Equity,16
1-03-24,Breaks Leaks,249
1-03-24,Homeowner Initiated,45
1-03-25,Block Level LSLR,70
1-03-25,Breaks Leaks,254
1-03-25,CIP Sewer and Water Main,82
1-03-25,Daycare,2
1-03-25,Equity,69
1-03-25,Homeowner Initiated,39
1-04-22,Homeowner Initiated,2
1-04-22,Equity,15
1-04-23,Homeowner Initiated,30
1-04-23,Block Level LSLR,1
1-04-23,Breaks Leaks,157
1-04-23,CIP Sewer and Water Main,30
1-04-23,Daycare,8
1-04-23,Equity,80
1-04-24,Daycare,4
1-04-24,Equity,21
1-04-24,Breaks Leaks,386
1-04-24,CIP Sewer and Water Main,30
1-04-24,Homeowner Initiated,36
1-04-25,CIP Sewer and Water Main,124
1-04-25,Daycare,10
1-04-25,Equity,28
1-04-25,Homeowner Initiated,33
1-04-25,Block Level LSLR,54
1-04-25,Breaks Leaks,470
1-05-21,Homeowner Initiated,1
1-05-22,Equity,25
1-05-23,CIP Sewer and Water Main,68
1-05-23,Homeowner Initiated,26
1-05-23,Equity,90
1-05-23,Daycare,9
1-05-23,Breaks Leaks,278
1-05-24,Equity,20
1-05-24,Daycare,1
1-05-24,CIP Sewer and Water Main,27
1-05-24,Breaks Leaks,221
1-05-24,Homeowner Initiated,36
1-05-25,Equity,5
1-05-25,CIP Sewer and Water Main,90
1-05-25,Breaks Leaks,351
1-05-25,Daycare,13
1-05-25,Block Level LSLR,3
1-06-21,Homeowner Initiated,2
1-06-22,Equity,28
1-06-22,Homeowner Initiated,3
1-06-23,Homeowner Initiated,25
1-06-23,Equity,110
1-06-23,Daycare,14
1-06-23,CIP Sewer and Water Main,74
1-06-23,Breaks Leaks,214
1-06-24,Equity,18
1-06-24,Breaks Leaks,258
1-06-24,CIP Sewer and Water Main,17
1-06-24,Daycare,3
1-06-24,Homeowner Initiated,28
1-06-25,Homeowner Initiated,3
1-06-25,Equity,3
1-06-25,Daycare,11
1-06-25,CIP Sewer and Water Main,34
1-06-25,Block Level LSLR,5
1-06-25,Breaks Leaks,230
1-07-21,Homeowner Initiated,1
1-07-21,Equity,1
1-07-22,Equity,17
1-07-22,Homeowner Initiated,1
1-07-23,Breaks Leaks,175
1-07-23,CIP Sewer and Water Main,40
1-07-23,Daycare,13
1-07-23,Equity,102
1-07-23,Homeowner Initiated,42
1-07-24,Homeowner Initiated,43
1-07-24,Daycare,6
1-07-24,Breaks Leaks,254
1-07-24,Block Level LSLR,1
1-07-24,Equity,22
1-07-24,CIP Sewer and Water Main,42
1-07-25,Equity,16
1-07-25,CIP Sewer and Water Main,10
1-07-25,Breaks Leaks,453
1-07-25,Block Level LSLR,12
1-07-25,Homeowner Initiated,46
1-08-21,Homeowner Initiated,1
1-08-21,Equity,1
1-08-22,Equity,18
1-08-22,Homeowner Initiated,3
1-08-23,Breaks Leaks,273
1-08-23,Block Level LSLR,1
1-08-23,Homeowner Initiated,44
1-08-23,Equity,131
1-08-23,Daycare,10
1-08-23,CIP Sewer and Water Main,75
1-08-24,Daycare,13
1-08-24,Equity,30
1-08-24,Breaks Leaks,263
1-08-24,CIP Sewer and Water Main,113
1-08-24,Homeowner Initiated,33
1-08-25,Block Level LSLR,29
1-08-25,Breaks Leaks,132
1-08-25,CIP Sewer and Water Main,19
1-08-25,Daycare,15
1-08-25,Equity,32
