GEOID_2,total_replacements_thru_march,geoid,requires_replacement,pct_requires_replacement,total,Y,N,pct_replaced,pct_poverty,pct_hispanic,pct_white_nonhispanic,pct_black_nonhispanic,pct_asian_nonhispanic,pct_minority,median_household_income,_merge,total_suspected_2021,Block Level LSLR,Breaks Leaks,CIP Sewer and Water Main,Daycare,Equity,Homeowner Initiated,total_replacements_thru_aug,pct_replaced_aug,pct_requiring_replacement_2021,majority_race
0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,no majority
17031010100,9.0,17031010100,195.0,72.8,268.0,5.0,263.0,1.9,14.0,21.7,34.8,36.9,3.7,65.2,69460.0,both,204.0,0.0,3.0,5.0,0.0,1.0,0.0,9.0,0.04411764705882353,0.7611940298507462,no majority
17031010201,4.0,17031010201,413.0,83.1,497.0,3.0,494.0,0.6,25.0,34.6,18.5,30.3,5.0,81.5,49639.0,both,417.0,0.0,2.0,0.0,1.0,2.0,0.0,5.0,0.011990407673860911,0.8390342052313883,no majority
17031010202,1.0,17031010202,160.0,77.3,207.0,1.0,206.0,0.5,22.9,16.2,37.1,36.4,8.1,62.9,55119.0,both,161.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.018633540372670808,0.7777777777777778,no majority
17031010300,29.0,17031010300,252.0,69.2,364.0,17.0,347.0,4.7,8.0,22.6,49.0,20.6,5.4,51.0,65871.0,both,281.0,0.0,6.0,22.0,0.0,0.0,2.0,30.0,0.10676156583629894,0.771978021978022,no majority
17031010400,2.0,17031010400,138.0,62.7,220.0,1.0,219.0,0.5,16.2,7.9,74.1,6.9,7.6,25.9,49017.0,both,140.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.02142857142857143,0.6363636363636364,white
17031010501,4.0,17031010501,83.0,59.3,140.0,3.0,137.0,2.1,11.1,9.4,63.0,18.2,6.9,37.0,48250.0,both,87.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,0.04597701149425287,0.6214285714285714,white
17031010502,3.0,17031010502,153.0,78.9,194.0,0.0,194.0,0.0,19.1,10.6,63.4,13.4,3.6,36.6,61367.0,both,156.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.02564102564102564,0.8041237113402062,white
17031010503,6.0,17031010503,168.0,82.0,205.0,6.0,199.0,2.9,46.9,3.0,62.9,17.9,10.5,37.1,21924.0,both,174.0,0.0,5.0,0.0,0.0,0.0,2.0,7.0,0.040229885057471264,0.848780487804878,white
17031010600,8.0,17031010600,384.0,79.8,481.0,6.0,475.0,1.2,17.7,19.0,54.2,16.7,3.8,45.8,71920.0,both,392.0,0.0,10.0,0.0,0.0,1.0,2.0,13.0,0.03316326530612245,0.814968814968815,white
